,ExKMC,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.
0,100.8187330069213,119.27895283047513,102.94377508606682,103.08237261951938,103.68780031904117,94.92045669701102
1,97.55589872995584,117.63670834899216,102.94377508606682,103.08237261951938,97.88751925975558,94.19880563513522
2,95.89729973777014,117.61625807952188,102.94377508606682,99.62131148143115,95.13324060545281,93.46655280097721
3,95.20260111531803,114.41721675609136,102.94377508606682,99.62131148143114,94.0973513005114,92.94027045874978
4,94.55132897835583,96.61236899240944,102.94377508606682,99.62131148143114,93.59672938458581,92.91325019316827
5,94.18908488679357,96.65828682695604,102.94377508606682,99.62131148143114,93.25686841876964,92.71867151436095
6,93.8938629049627,96.23638000134159,102.94377508606682,99.62131148143114,93.06374972235017,92.56397572251028
7,93.6464959558988,96.23638000134159,102.16646678125186,99.62131148143114,92.90586774528606,92.47312390253676
8,93.4291016282418,95.0137965360187,102.16646678125186,99.62131148143114,92.751052535627,92.37212694590878
9,93.23858354880439,95.0137965360187,100.26846727369058,99.62131148143114,92.751052535627,92.37212694590878
10,93.05987646720502,94.89127071414762,100.26846727369058,99.62131148143114,92.63465716608064,92.28241844619515
11,92.88227197299709,94.68319445992593,100.26846727369058,99.62131148143114,92.63465716608064,92.1698268232117
12,92.73089644739973,94.49563027695599,99.25344995502732,99.29504184053081,92.49287964492503,92.1698268232117
13,92.58139939420542,94.407086596396,99.25344995502732,99.29504184053081,92.49287964492503,92.06797015277768
14,92.48126105068097,94.25650024431027,99.50003111498667,98.34402664205794,92.41248231642697,92.06797015277768
15,92.41249991019265,94.17324201148404,99.50003111498667,97.74066082443142,92.41248231642697,91.99159647441446
16,92.35837117125838,93.80357224924819,99.76027042671062,97.74066082443142,92.37563020759035,91.99159647441446
17,92.30453953314829,92.50547402988204,97.8365436205957,97.63697497797975,92.3278297777674,91.93981845041986
18,92.27266430522653,92.98903851179384,97.8365436205957,97.63697497797975,92.3278297777674,91.90689238376727
19,92.22576047251614,93.19900883888364,97.58234772831987,97.63697497797975,92.3278297777674,91.90689238376727
20,92.20218278756803,92.40713399811557,97.58234772831987,97.63697497797975,92.27369950452199,91.8920318394198
21,92.18055986564572,92.93235042503683,97.58234772831987,97.63697497797975,92.27369950452199,91.8920318394198
22,92.16461507759901,92.20913073719069,97.58234772831987,97.63697497797975,92.21063404540216,91.8986905004846
23,92.1537250958771,92.62102255557734,97.21395532534059,95.16449773424736,92.21063404540216,91.8986905004846
24,92.1537250958771,91.89185010150574,97.21395532534059,95.16449773424736,92.16838061860038,91.89185010150574
25,92.13864043514069,91.89185010150574,97.21395532534059,95.16449773424736,92.16838061860038,91.89185010150574
26,92.13864043514069,91.89185010150574,97.21395532534059,95.16449773424736,92.17812929208355,91.89185010150574
