,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance
,DBSCAN,DBSCAN,DBSCAN,DBSCAN,DBSCAN,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,CBA,CBA,CBA,CBA,CBA,IDS,IDS,IDS,IDS,IDS,DSCluster,DSCluster,DSCluster,DSCluster,DSCluster
,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4
6,,,938,0.4155359536444467,0.0,3,2.516,480.0,0.3468180279649188,0.035193193193193195,5,3.5153764581124074,145.0,0.39556705873706954,0.05318518518518518,,,,,,,,,,,4,2.3568464730290457,683.0,0.4413774577059563,0.037323323323323325
7,,,938,0.4155359536444467,0.0,4,2.647,565.0,0.3543405928142441,0.030944944944944944,5,3.5153764581124074,145.0,0.39556705873706954,0.05318518518518518,,,,,,,,,,,4,2.4388961892247045,716.0,0.4484748761843962,0.03318118118118118
8,,,938,0.4155359536444467,0.0,4,2.775,645.0,0.36729849882278576,0.023205205205205207,5,3.5153764581124074,145.0,0.39556705873706954,0.05318518518518518,,,,,,,,,,,4,2.4923857868020303,743.0,0.4339415095267765,0.03247847847847848
9,,,938,0.4155359536444467,0.0,4,2.914,695.0,0.36472399315491194,0.02053253253253253,5,3.5153764581124074,145.0,0.39556705873706954,0.05318518518518518,,,,,,,,,,,4,2.5669481302774426,769.0,0.4303946014949871,0.029401401401401402
10,,,938,0.4155359536444467,0.0,5,3.043,695.0,0.36472399315491194,0.02053253253253253,5,3.5153764581124074,145.0,0.39556705873706954,0.05318518518518518,,,,,,,,,,,4,2.599056603773585,788.0,0.42251781069828126,0.0267007007007007
11,,,938,0.4155359536444467,0.0,5,3.072,750.0,0.37323496152358165,0.01793993993993994,5,3.5153764581124074,145.0,0.39556705873706954,0.05318518518518518,,,,,,,,,,,4,2.628175519630485,806.0,0.41460798774445695,0.023655655655655656
12,,,938,0.4155359536444467,0.0,5,3.194,770.0,0.3787202921810976,0.016982982982982984,5,3.5153764581124074,145.0,0.39556705873706954,0.05318518518518518,,,,,,,,,,,4,2.651532349602724,821.0,0.41130809825211334,0.02101301301301301
13,,,938,0.4155359536444467,0.0,5,3.312,790.0,0.38010298115307345,0.01605805805805806,5,3.5153764581124074,145.0,0.39556705873706954,0.05318518518518518,,,,,,,,,,,4,2.6711409395973154,834.0,0.4110047550349921,0.01835835835835836
14,,,938,0.4155359536444467,0.0,5,3.411,805.0,0.3835003643171621,0.015265265265265265,5,3.5153764581124074,145.0,0.39556705873706954,0.05318518518518518,,,,,,,,,,,4,2.6887417218543046,846.0,0.41088877953707853,0.01608808808808809
15,,,938,0.4155359536444467,0.0,5,3.446,860.0,0.39335750787865437,0.012532532532532533,5,3.5153764581124074,145.0,0.39556705873706954,0.05318518518518518,,,,,,,,,,,4,2.704471101417666,857.0,0.41134582996139296,0.013753753753753754
16,,,938,0.4155359536444467,0.0,6,3.47,885.0,0.3982907255657579,0.011361361361361361,5,3.5153764581124074,145.0,0.39556705873706954,0.05318518518518518,,,,,,,,,,,4,2.7198275862068964,868.0,0.4117369111752857,0.011573573573573574
17,,,938,0.4155359536444467,0.0,6,3.832,895.0,0.4001867721359333,0.009917917917917917,5,3.5153764581124074,145.0,0.39556705873706954,0.05318518518518518,,,,,,,,,,,4,2.7198275862068964,868.0,0.4117369111752857,0.011573573573573574
18,,,938,0.4155359536444467,0.0,6,4.192,895.0,0.4001867721359333,0.009917917917917917,5,3.5153764581124074,145.0,0.39556705873706954,0.05318518518518518,,,,,,,,,,,4,2.7198275862068964,868.0,0.4117369111752857,0.011573573573573574
19,,,938,0.4155359536444467,0.0,6,4.226,920.0,0.40520368145534236,0.006344344344344345,5,3.5153764581124074,145.0,0.39556705873706954,0.05318518518518518,,,,,,,,,,,4,2.7198275862068964,868.0,0.4117369111752857,0.011573573573573574
20,,,938,0.4155359536444467,0.0,6,4.322,920.0,0.40520368145534236,0.006344344344344345,5,3.5153764581124074,145.0,0.39556705873706954,0.05318518518518518,,,,,,,,,,,4,2.7198275862068964,868.0,0.4117369111752857,0.011573573573573574
