,IMM,RandomIMM,ExKMC,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.,Unsupervised Forest,Centroid Forest
7,6,6,6,4,3,4,3,4,5,5
8,6,6,6,5,4,4,4,5,5,5
9,6,6,6,5,4,4,4,5,5,5
10,6,6,7,6,5,4,4,5,5,5
11,6,6,8,6,5,4,5,5,5,5
12,6,6,8,6,5,4,5,5,5,5
13,6,6,8,6,5,4,5,6,5,5
14,6,6,8,6,5,4,5,7,5,5
15,6,6,8,6,5,5,6,7,5,5
16,6,6,8,6,5,5,6,7,5,5
17,6,6,9,6,6,5,6,7,5,5
18,6,6,9,6,6,5,6,7,5,5
19,6,6,9,7,6,6,6,7,5,5
20,6,6,9,7,6,6,6,7,5,5
21,6,6,9,8,6,6,6,7,5,5
22,6,6,10,8,6,6,7,7,5,5
23,6,6,10,8,6,6,8,7,5,5
24,6,6,10,8,6,6,8,7,5,5
25,6,6,10,8,6,6,8,7,5,5
26,6,6,10,8,6,6,8,7,5,5
27,6,6,10,8,6,6,8,7,5,5
28,6,6,10,8,7,6,8,8,5,5
29,6,6,10,8,7,6,8,9,5,5
30,6,6,11,8,7,6,9,9,5,5
31,6,6,11,8,7,6,9,9,5,5
32,6,6,12,8,7,6,9,9,5,5
