,standard,standard,standard,standard,standard,standard,standard,standard,normalized,normalized,normalized,normalized,normalized,normalized,normalized,normalized,normalized_v2,normalized_v2,normalized_v2,normalized_v2,normalized_v2,normalized_v2,normalized_v2,normalized_v2
,KMeans,ExKMC,Forest-Vote,Forest-Vote-Pruned,Forest-Min,Forest-Min-Pruned,Forest-No-Cluster,Forest-No-Cluster-Pruned,KMeans,ExKMC,Forest-Vote,Forest-Vote-Pruned,Forest-Min,Forest-Min-Pruned,Forest-No-Cluster,Forest-No-Cluster-Pruned,KMeans,ExKMC,Forest-Vote,Forest-Vote-Pruned,Forest-Min,Forest-Min-Pruned,Forest-No-Cluster,Forest-No-Cluster-Pruned
0,105.4319898099722,118.93340020599396,2187.74389996161,121.39877356062307,2187.143033929118,124.59444717482653,3132.722010128022,117.2316985224977,0.012770347602952058,0.014405692854408183,0.04316182560777086,0.014502433171842381,0.043135926226714694,0.014468049932757517,0.05438750503359812,0.013548035916375111,0.0008909544839268878,0.0010050483386796407,0.0030112901586816882,0.0011191588299814055,0.0030094832251196294,0.001091928296811888,0.003794477095367311,0.0010289647531424135
1,105.4319898099722,115.76812179923174,2187.74389996161,126.40628102598156,2187.143033929118,126.25024522155228,3132.722010128022,113.04375150301777,0.012770347602952058,0.014022301574519348,0.04316182560777086,0.0147927989367803,0.043135926226714694,0.014389812843771723,0.05438750503359812,0.013225594197665594,0.0008909544839268878,0.000978300109850187,0.0030112901586816882,0.001112937851043032,0.0030094832251196294,0.0010826191481207565,0.003794477095367311,0.0010239169701418524
2,105.4319898099722,113.7566211740554,2187.74389996161,126.72921036450917,2187.143033929118,120.16797671947104,3132.722010128022,111.7087901956971,0.012770347602952058,0.013778660510423377,0.04316182560777086,0.014691325699795097,0.043135926226714694,0.014372495139438004,0.05438750503359812,0.013065774494495794,0.0008909544839268878,0.0009613018960760495,0.0030112901586816882,0.0011193391009367694,0.0030094832251196294,0.0011127093011177808,0.003794477095367311,0.0010082912793180035
3,105.4319898099722,112.10105911419353,2187.74389996161,129.20684711493755,2187.143033929118,115.90751801870925,3132.722010128022,114.86450194938315,0.012770347602952058,0.01357813216014941,0.04316182560777086,0.014598794929969591,0.043135926226714694,0.014169481031630219,0.05438750503359812,0.013240192310567745,0.0008909544839268878,0.0009473115460569356,0.0030112901586816882,0.0010747579089548165,0.0030094832251196294,0.0010934647741450974,0.003794477095367311,0.0010087765569956376
4,105.4319898099722,110.67083260514002,2187.74389996161,129.88055633128727,2187.143033929118,114.10719795901545,3132.722010128022,115.89044252353725,0.012770347602952058,0.013404897360118705,0.04316182560777086,0.014688499004273275,0.043135926226714694,0.013987495532838908,0.05438750503359812,0.013208175867560899,0.0008909544839268878,0.000935225397217584,0.0030112901586816882,0.0010880369632795019,0.0030094832251196294,0.001072523619131418,0.003794477095367311,0.000993718560568845
5,105.4319898099722,109.47846455469298,2187.74389996161,125.42718894520411,2187.143033929118,111.4237267857824,3132.722010128022,112.38002467462032,0.012770347602952058,0.013260472935403703,0.04316182560777086,0.014533724326472774,0.043135926226714694,0.013857525743683737,0.05438750503359812,0.013276915100025254,0.0008909544839268878,0.0009251492745630491,0.0030112901586816882,0.0010765721723313166,0.0030094832251196294,0.0010693910541749506,0.003794477095367311,0.0010147960586006563
6,105.4319898099722,108.73254543049417,2187.74389996161,127.47209353914556,2187.143033929118,112.72256470546496,3132.722010128022,114.78463433468669,0.012770347602952058,0.013170124204274972,0.04316182560777086,0.014616253170299002,0.043135926226714694,0.013928509994175838,0.05438750503359812,0.01338289470400427,0.0008909544839268878,0.0009188458747168586,0.0030112901586816882,0.0010694819392901708,0.0030094832251196294,0.001064599490000701,0.003794477095367311,0.0010068635513984403
7,105.4319898099722,108.09009869667929,2187.74389996161,131.84968861675173,2187.143033929118,114.37226451245424,3132.722010128022,116.30023023211642,0.012770347602952058,0.01309230846616755,0.04316182560777086,0.014745980521161092,0.043135926226714694,0.014013531956243217,0.05438750503359812,0.013496240621921923,0.0008909544839268878,0.0009134168697326197,0.0030112901586816882,0.001065974495505621,0.0030094832251196294,0.001060961409936395,0.003794477095367311,0.0010090647193960315
